station_name,train_length,test_length,split_time,forecast_method,mape
AlaskanWayViaduct_KingSt,168,168,1,pred_prophet,0.122283167249342
AlaskanWayViaduct_KingSt,168,672,1,pred_auto.arima,0.0859533277064199
AlaskanWayViaduct_KingSt,168,672,1,pred_forecastHybrid,0.0760634855844049
AlaskanWayViaduct_KingSt,168,672,1,pred_prophet,0.463269849047377
AlaskanWayViaduct_KingSt,672,4,1,pred_auto.arima,0.0375087026895416
AlaskanWayViaduct_KingSt,672,4,1,pred_forecastHybrid,0.0109742105556552
AlaskanWayViaduct_KingSt,672,4,1,pred_prophet,0.00864663509068107
AlaskanWayViaduct_KingSt,672,24,1,pred_auto.arima,0.136925106716697
AlaskanWayViaduct_KingSt,672,24,1,pred_forecastHybrid,0.0683050390559111
AlaskanWayViaduct_KingSt,672,24,1,pred_prophet,0.0421577386671154
AlaskanWayViaduct_KingSt,672,168,1,pred_auto.arima,
AlaskanWayViaduct_KingSt,672,168,1,pred_forecastHybrid,0.0751718404717127
AlaskanWayViaduct_KingSt,672,168,1,pred_prophet,0.203061083251687
AlaskanWayViaduct_KingSt,672,672,1,pred_auto.arima,
AlaskanWayViaduct_KingSt,672,672,1,pred_forecastHybrid,0.0480514472409216
AlaskanWayViaduct_KingSt,672,672,1,pred_prophet,0.408179919850487
AlaskanWayViaduct_KingSt,4032,4,1,pred_auto.arima,0.143471406279168
AlaskanWayViaduct_KingSt,4032,4,1,pred_forecastHybrid,0.00550170836789799
AlaskanWayViaduct_KingSt,4032,4,1,pred_prophet,0.00726816740120617
AlaskanWayViaduct_KingSt,4032,24,1,pred_auto.arima,0.183718006460891
AlaskanWayViaduct_KingSt,4032,24,1,pred_forecastHybrid,0.0387823525298157
AlaskanWayViaduct_KingSt,4032,24,1,pred_prophet,0.0746144118068307
AlaskanWayViaduct_KingSt,4032,168,1,pred_auto.arima,0.0643811063727755
AlaskanWayViaduct_KingSt,4032,168,1,pred_forecastHybrid,0.0772586039295403
AlaskanWayViaduct_KingSt,4032,168,1,pred_prophet,0.0629325323043492
AlaskanWayViaduct_KingSt,4032,672,1,pred_auto.arima,0.256877164618893
AlaskanWayViaduct_KingSt,4032,672,1,pred_forecastHybrid,0.0875770680305087
AlaskanWayViaduct_KingSt,4032,672,1,pred_prophet,0.0502436019667794
AlbroPlaceAirportWay,24,4,1,pred_auto.arima,0.154594508880612
AlbroPlaceAirportWay,24,4,1,pred_forecastHybrid,0.00970791512829735
AlbroPlaceAirportWay,24,4,1,pred_prophet,0.187082018934282
AlbroPlaceAirportWay,24,24,1,pred_auto.arima,0.0799477559788673
AlbroPlaceAirportWay,24,24,1,pred_forecastHybrid,0.138275131451411
