station_name,train_length,test_length,split_time,forecast_method,mape,interval_accuracy
35thAveSW_SWMyrtleSt,168,24,2015-08-23T00:00:00Z,pred_auto.arima,0.0278253124000405,1
35thAveSW_SWMyrtleSt,168,24,2015-08-23T00:00:00Z,pred_forecastHybrid,0.0368705432958227,1
35thAveSW_SWMyrtleSt,168,24,2015-08-23T00:00:00Z,pred_prophet,0.0115114433737035,0.625
35thAveSW_SWMyrtleSt,168,24,2015-01-31T07:00:00Z,pred_auto.arima,0.0158435647334101,1
35thAveSW_SWMyrtleSt,168,24,2015-01-31T07:00:00Z,pred_forecastHybrid,0.0171064827638242,1
35thAveSW_SWMyrtleSt,168,24,2015-01-31T07:00:00Z,pred_prophet,0.0211868420862197,0.416666666666667
35thAveSW_SWMyrtleSt,168,168,2014-06-25T01:00:00Z,pred_auto.arima,0.104613456555398,0.970238095238095
35thAveSW_SWMyrtleSt,168,168,2014-06-25T01:00:00Z,pred_forecastHybrid,0.106181478326893,1
35thAveSW_SWMyrtleSt,168,168,2014-06-25T01:00:00Z,pred_prophet,0.09906618440669,0.779761904761905
35thAveSW_SWMyrtleSt,168,168,2015-05-21T01:00:00Z,pred_auto.arima,0.0807247943966765,0.321428571428571
35thAveSW_SWMyrtleSt,168,168,2015-05-21T01:00:00Z,pred_forecastHybrid,0.0327363502245106,1
35thAveSW_SWMyrtleSt,168,168,2015-05-21T01:00:00Z,pred_prophet,0.0289001103704586,1
35thAveSW_SWMyrtleSt,168,168,2014-08-29T08:00:00Z,pred_auto.arima,0.172064666076606,1
35thAveSW_SWMyrtleSt,168,168,2014-08-29T08:00:00Z,pred_forecastHybrid,0.111097831120383,1
35thAveSW_SWMyrtleSt,168,168,2014-08-29T08:00:00Z,pred_prophet,0.184816882085663,0.440476190476191
35thAveSW_SWMyrtleSt,168,672,2015-09-07T00:00:00Z,pred_auto.arima,0.035756661834987,0.803571428571429
35thAveSW_SWMyrtleSt,168,672,2015-09-07T00:00:00Z,pred_forecastHybrid,0.178924729270996,1
35thAveSW_SWMyrtleSt,168,672,2015-09-07T00:00:00Z,pred_prophet,0.306475815532792,0.855654761904762
35thAveSW_SWMyrtleSt,168,672,2015-08-25T10:00:00Z,pred_auto.arima,0.0723636629386596,0.748511904761905
35thAveSW_SWMyrtleSt,168,672,2015-08-25T10:00:00Z,pred_forecastHybrid,0.0498320001318619,1
35thAveSW_SWMyrtleSt,168,672,2015-08-25T10:00:00Z,pred_prophet,0.103804294397733,0.985119047619048
35thAveSW_SWMyrtleSt,168,672,2015-06-02T11:00:00Z,pred_auto.arima,0.0990206400104918,0.977678571428571
